Batman vs Superman	batman banaam superman	batman vs superman
I can only imagine the sarcastic jokes he makes in the film. Caine is perfect for that character.	main kewal film mein unake dwara kiye gaye vyangyaatmak chutkulon kii kalpana curr sakata huun. caine usa kirdar key liye bilkul upayukt haye.	mai imagine hi kar sakta hu wo jo film me sarcastic joke marta hai. Caine perfect is character ke liye.
He has some gread monolouges	unake paas kuchh behtareen monologue hain	Uske pass kuch mahan monolouges hai
Batman intercepts a drug shipment, provides Rachel with evidence against Falcone, and enlists Sergeant James Gordon, one of the few honest cops left in Gotham, to arrest him. In prison, Falcone meets with Dr. Jonathan Crane, a corrupt psychiatrist whom he has helped smuggle drugs into Gotham, and threatens to reveal his complicity if he does not declare  him mentally unfit for trial. Crane puts on a scarecrow mask and sprays Falcone with a fear- inducing hallucinogen that drives him insane (which causes Falcone to constantly mouth the  word "Scarecrow"), and has him transferred to Arkham Asylum. While investigating "the Scarecrow", Batman is exposed to the hallucinogen and left incapacitated. He is saved by Alfred and given an antidote developed by Fox. When Rachel accuses Crane of corruption, Crane reveals that he has been pouring his fear-inducing drug into Gotham's water supply. He drugs Rachel with it, but Batman saves her and subdues Crane, who claims to work for Ra's al Ghul. Batman evades the police to get Rachel to safety, administers the antidote, and gives her a vial of it for Gordon and another for mass production. Ducard reappears at Bruce's birthday party and reveals himself to be the true Ra's al Ghul. Having stolen a powerful microwave emitter from Wayne Enterprises, he plans to vaporize Gotham's water supply, rendering Crane's drug airborne and causing mass hysteria that will destroy the city. He sets Wayne Manor aflame and leaves Bruce to die, but Alfred rescues him.	batman ack drugg shipment koo rokta haye, rechel koo falcon key khilaf saboot pradaan kartaa haye, aur usey giraftar karane key liye gotham mein bache kuchh imandar puliskarmiyon mein seey ack, sargent james gorden koo shamil kartaa haye. jail mein, falcon kii mulakat ack bhrasht manochikitsak dow. jonathan crain seey hoti haye, jisaki usane gotham mein davaaon kii taskari mein madad kii haye, aur dhamki detaa haye kii aggar usane usey mukadame key liye mansik roop seey ayogya ghoshit naheen kiya tou vaha apani milibhagat kaa khulasa curr dega. crain ack bijuka mukhauta pahanati haye aur falcon parr darr utpann karane vaalaa matibhram chhidakati haye joe usey pagal banaa detee haye (jisake kaaran falcon lagaatar "scarecro" shabd bolata haye), aur usey arkham sharan mein sthanantarit curr diyaa jaataa haye. "dha scarecro" kii jaanch karate samay, batman matibhram key sampark mein aaa jaataa haye aur aksham hoe jaataa haye. usey alfred dwara bachaaya jaataa haye aur fox dwara vikasit ack maarak dawaa dee jaati haye. jaba rechel ney crain parr bhrashtachar kaa aarop lagaaya, tou crain ney khulasa kiya kii vaha gotham kii jall aapoorti mein apani darr paida karane vaali dawaa daal rhaa haye. vaha rechel koo nashila padaarth detaa haye, lekin batman usey bachaata haye aur crain koo apane vash mein curr letaa haye, joe raa all ghul key liye kaam karane kaa daavaa kartaa haye. rachelle koo surakshit nikaalane key liye batman pulis seey bachata haye, maarak aushadhi detaa haye, aur usey gorden key liye ack sheeshi aur badey paimaane parr utpaadan key liye ack sheeshi detaa haye. ducard broose kii janmadin kii party mein phir seey prakat hotaa haye aur khud koo sachcha raa all ghul honey kaa khulasa kartaa haye. wein entreprises seey ack shaktishali microwave emiter churaane key baad, vaha gotham kii jall aapoorti koo vashpikrit karane kii yojana banaa rhaa haye, jisase crain kii dawaa havaa mein fail jaayegi aur badey paimaane parr unmaad fail jaayega joe shahar koo nasht curr dega. vaha wein manner koo aag lagaa detaa haye aur broose koo marane key liye chhod detaa haye, lekin alfred usey bachaa letaa haye.	Batmain ek druag shipment ko accept karata hai, Rachel ko Falcone ke against saboot provide karaata hai, aur Sergeant James Gordon ko Gotham mein chhode gye kuchh imandaar police mein se ek ko arrest karane ke lie prerit karata hai. Jail mein, Falcone ek corrupt psychiatris Dr. Jonathan Crane ke saath milata hai, jise usane Gotham mein drugs ke taskai karane mein help ki hai, aur use maanasik roop se pareekshan ke liye. Crane ek scarecrow mask daalata hai aur ek bhay ke saath Falcone pe spray karta hai- use prerit karane vaale matibhram ko prerit karata hai (jisase Falcone shabd " Scarecrow " ko lagaataar munh mein le jaata hai), aur use Arkham Asylum mein transfer kara dita hai. " the Scarecrow " ki jaanch karate samay, batman ko hallucinogen ke sampark mein laaya jaata hai aur chhod diya jaata hai. Use Alfred dvaara bachaaya gaya hai aur Fox dvaara vikasit ek antidote diya gaya hai. Jab Rachel ne Crane par corruption ka aarop lagaaya, to Crane ne khulaasa kiya ki voh apane fear-inducing drug ko Gotham ke pani mein daal deta hai. Veh iske saath Rachel ko drugs deta hai, lekin Batman use bachaata hai aur Crane ko vash mein karta hai, jo Ra's al Ghul ke lie kaam karne ka daava karata hai. Batman police ko Rachel ko suraksha ke lie vikasit karata hai, antidote ka prashaasan karata hai, Aur use Gordo ke lie ek bottle deta hai aur doosare ko bade paimaane par utpaadan ke lie. Ducard Bruce ke janmadin ke party mein phir se prakat hota hai aur khud ko asalee Ra's al Ghul. hone ka khulaasa karta hai. Wayne Enterprises se ek shaktishali microwave emitter chori hone ke baad, usne Gotham ke pani ke supply ko vaashpit karane ki yojana banaee, Crane ke drug ko hava dene aur bade paimaane par hysteria paida karne ke kaaran jo shahar ko nasht kar dega. vah Wayne Manor ka naam taye karta hai aur Bruce ko marne ke lie chhod deta hai, lekin Alfred use bacha leta hai
Interesting Scarecrow is even in the film. That seems like a lot of plot if they have multiple villans in the film.	dilchasp bijuka film mein bhee haye. yadi film mein kaee khalnayak hain tou yeh kaafee kathaanak jaisa lagata haye.	Film mein Scarecrow bhi bahut dilchasap hai. Tab kafi saare plot lagte hai agr film mein bahut saare villans ho to.
How was the story in your opinion?	aapaki raay mein kahani cassie thee?	Apki raay se story kaisi thi?
It does not crowd the film in my opinion. Unlike how it turned out with Batman and Robin.	merrie raay mein isase film mein bheed naheen hoti. batman aur robbin key saath jaisa huaa usake vipareet.	Mere raay se yeh film ko bhara hua nhi dikhate. Iske vipreet yeh Batman aur Robin ke saath kaise hua.
You can have multiple villians as long as you use them correctly	jaba taka aap unaka sahee dhang seey upayog karate hain taba taka aapke paas ekaadhik villion hoe sakate hain	Tum bahut se villians le skte ho jab tak ki tum unhe achhe se use krte ho
I thought it was a great story. OVerall very solid	mujhe lagaa kii yeh ack behtareen kahani haye. kull milakar bahut thhos	Mujhe lagta tha ki ye ek mahan kahani hai. Kul milaakar bahut solid
I agree,  does the League ever bump heads with Crane in the film?	main sahmat huun, kyaa leag kabhi film mein crain seey takaraati haye?	Han main sehmat huin, kya Leagu kabhi film mein Cran ke saath sir kaatte hai?
Or do they work together?	yaa kyaa way ack saath kaam karate hain?	Aur kya ve ek saath kaam karte hai?
Yes, and it fits naturally.	haan, aur yeh swaabhaavik roop seey fitt baithata haye.	Han, aur yeh svaabhaavik roop se fit baithta hai.
Helllo	namaste	Hello
Hi, there.	namaste.	Hi, there.
I guess we are to talk about the movie	mujhe lagata haye kii hamein film key baare mein baat karni chaahiye	Mujhe lagta hai hum Movie ke baare me baat kar rahe hai
Have you seen it	kyaa aapane ise dekhaa haye	Kya tumne use dekha hai
Yeah - I wanted to talk about it because I like how David Fincher directed it.	haan - main isake baare mein baat karna chaahata thaa kyonki mujhe yeh pasand aayaa kii david fincture ney ise kaise nirdeshit kiya.	Yeah - me uske baare me baat karna chahta hun, jaise David Fincher ne ise direct kiya mujhe pasand aaya.
ok	thheek haye	Ok
Did you see it?	aapane ise dekhaa thaa?	kya aap dekha?
did you enjoy it	kyaa aapako yeh achchha lagaa	kya aap enjoy kiya
yes i did	haan maine kiya	haan yar
Yeah, a lot. Sorkin and Fincher sure laced their scathing wit with an aching sadness, you know? I guess everybody says that, though.	haan bahut. sorkin aur fincture ney nishchit roop seey apani teekhi buddhi key saath ack dukhdaayi udasi bhee jodd dee haye, kyaa aap jaanate hain? haalaanki, mujhe lagata haye kii harr koee aisaa kahata haye.	bahut yar.. sorkin aur fincher tho apni aching sadness ko tho badiya scathing kare.. aapko patha hein? i guess ki sabhi aise hi sochthe honge..
ok, i wasnt aware it was based on a book	thheek haye, mujhe naheen pataa thaa kii yeh kissy kitab parr adharit haye	ok, muje iska koi aware nahi hein.. lekin yeh book ke based hoga
Yeah. Though I guess the movie isn't quite as factual as the book? And that the book is pretty heavily debated.	haan. haalaanki mujhe lagata haye kii film kitab jitani tathyaatmak naheen haye? aur iss kitab parr kaafee bahas hui haye.	haan.. book se compare kare tho yeh movie itna bhi ache nahi hein kyon? aur book tho heavily debated tha
I see	achchha aisaa haye	acha
You remember that bit where Zuckerberg gets dumped and then writes a mean post about his ex?	kyaa aapako vaha ansh yaad haye jahaan jukerberg koo chhod diyaa jaataa haye aur phir vaha apani poorv premika key baare mein ghatiya post likhate hain?	aapko yaad hein ki zuckerberg tho kuch samai dumped tha aur voh apne ex se badi mean tha
Im not a fan of facebook or zukerbeg, but I thought the movie was well done.   I dont remember that part specifically	main facebook yaa jukerberg kaa prashansak naheen huun, lekin mujhe lagaa kii film achchi bunny haye. mujhe vaha bhaag vishesh roop seey yaad naheen haye	mein zukerberg ka fan nahi hoon, lekin movie tho badiya nikla.. muje uska yaad kuch nahi aatha
Yeah, no, I'm no fan of either, either. But it was that scene that kind said everything that needed to be said about the mentality behind that site. I thought that was pretty brilliant.	haan, naheen, main kissy kaa bhee prashansak naheen huun. lekin yeh vaha drishya thaa jisane usa site key peechhe kii mansikta key baare mein vaha sub kuchh kaha diyaa joe kahaa jaanaa aavashyak thaa. maine socha kii yeh bahut shandar thaa.	haan yar, mein bhi uska fan nahi hoon.. lekin is scene mein tho kuch aise dekhaya gaya hein ki voh usse mentaly lead kar raha hein.. voh tho brilliant hein.
it seems to be highly rated	aisaa lagata haye kii ise uchch darja diyaa gayaa haye	ye kafi high rated dikhti hai
Yeah. It's definitely a strong movie. I mean, it's a movie about Facebook that is actually watchable. That's saying something.	haan. yeh nishchit roop seey ack sashakt film haye. meraa matlab haye, yeh facebook key baare mein ack film haye joe vaastav mein dekhane yogya haye. vaha kuchh kaha rhaa haye.	Han. ye definitely ek strong movie hai. Mera matlab, ye facebook par aisi movie hai jo watchable hai. Bahut badi baat hai.
yes Iwas thinking that as well	haan main bhee yahee soch rhaa thaa	han main bhi yahi soch raha tha.
it is even more trajic where it has brought us politically	yeh aur bhee dukhad haye kii isane hamein raajneetik roop seey kahaan pahuncha diyaa haye	ye aur bhi tragic hai ki ye hume politically kahan le aya
For sure. And I feel like it's all in that bit where Sean Parker has his line about "You know what IS cool? A billion dollars." Like, it's presented as a way to keep people in touch, but it's really the coldest corporate-type of thing.	pakka. aur mujhe aisaa lagata haye kii yeh sub usa ansh mein haye jahaan shaun parker kii apani pankti haye "aap jaanate hain kii kyaa achchha haye? ack arab dollar." jaise, ise logon koo sampark mein rakhane key ack tareeke key roop mein prastut kiya gayaa haye, lekin yeh vaastav mein sabse thhandi corporate-prakaar kii cheez haye.	sach mein. Aur mujhe lagta hai ye sab usme bit mein hai jahan Sean Parker ki line hai "You know what IS cool? A billion dollars.". Like, ye aise way mein presented hai ki people touch mein rahein, par ye really bohat cold-corporate type ki thing hai
yes greed is powerfull	haan lalach shaktishali haye	han greed powerful hai
Did you know Sean Parker was the founder of Napster?	kyaa aap jaanate hain seane parker napster key sansthaapak they?	kya tum jante ho Sean Parker Napster ka founder tha
yes	haan	yes
it is interesting how he suggested getting rid of "the"	yeh dilchasp haye kii unhone "dha" seey chhutkara paane kaa sujhaav kaise diyaa	ye interesting hai kaise usne 'the' se rid karne ka suggest.
Yes! I was just about to say that.  I think it's crazy how much influence he had on Facebook when it started out.	haan! main bhee abhee yahee kahane vaalaa thaa.  mujhe lagata haye kii yeh ajib baat haye kii jaba facebook shuru huaa tou usa parr uska kitna prabhaav thaa.	han! main wahi bolne wala tha. Mujhe lagta hai ye crazy hai uske pas kitna zyada influence tha jab facebook start hua.
Then there's that last scene, where Zuckerberg keeps refreshing his page to see if his ex-girlfriend has accepted his friend request. That's what it all comes back to. After all the greed, you've still got these human needs.	phir vaha aakhiri drishya haye, jahaan jukerberg yeh dekhane key liye apana pays refreshes karate rahate hain kii kyaa unaki poorv premika ney unaki friend request sweekar curr lii haye. yeh sub usee parr vaapas aataa haye. tamaam lalach key baad bhee, aapke paas yeye maanviya zarooraten hain.	Aur ek last sceme hai, jahan Zuckerberg apne page ko refresh karta rahta hai yeh dekhne ke liye ki kya uske ex-girlfriend ne uska friend request accept kiya hai ya nahin. Last mein yehi sab hota hai. Saare greed ke baad, tumhe human needs ki zaroorat hai.
it is interesting for sure	yeh nishchit roop seey dilchasp haye	Hann. Yeh zaroor interesting hai.
